"AL","AK","AZ","AR","CA","CO","CT","DE","FL","GA","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VT","VA","WA","WV","WI","WY"
"Lucid",4.29937534992338,4.07760809280254,3.14184926723347,4.32583183861241,4.13138126158713,3.19375239670553,4.14767484249061,4.08058080636721,5.41642567558473,5.10129208389382,4.28693281758602,3.97221268053242,4.07452192390267,4.08581862989333,4.10022738231175,4.05921212763546,4.16622206279336,7.43354153587714,4.0271436606599,4.10098948575311,4.14327323514952,4.05173384657112,4.05542331729434,4.24929845226271,4.13485623840441,3.90396797163935,4.01322847288688,4.06309376159365,4.00486299416918,4.33203930454586,2.21510566699188,4.35775075322957,4.48020043929637,3.9156028151567,4.15482488732119,4.26870465685831,3.95758769428736,4.13122298283626,4.24588124038253,4.11568069716914,3.95951801517661,4.27531652059589,4.0042454805177,3.97163009194949,3.94765127994919,2.12900578237498,4.05444096089862,4.24807390171951,4.05297173178807,4.01093276001429
"Suffolk University",1.09325114545988,0.889535894121752,0.893839798908979,1.14860042589913,1.03945194767996,0.789518381122735,0.89078213875227,0.890636932849737,1.34984535962613,0.824882107836221,1.20782797268581,0.901589043748094,1.05796534868096,1.00755467933971,1.16402213897924,0.840592284571521,0.990954549516571,1.11449733864837,0.995388107062332,0.826656743077431,-0.0384366594370393,1.07053769796859,0.962758950797145,1.17129877487498,1.06397705394099,0.912951873678426,0.862071059295175,1.11360331363563,-0.170568942362146,1.26045609028367,1.02381685580447,1.18220019094975,0.997327177605994,0.965241192856984,3.5474509660944,0.949641922207161,0.877642051480471,2.71285430380859,1.05384590079462,1.04631728307193,0.982941934735668,1.04475217496088,0.886526190565265,0.84515100124843,0.883524927036807,-1.48215525287933,0.994456878793268,1.02400505926641,1.11420509485186,0.988560208343856
"Emerson College",-3.08088976633946,0.998391460987119,1.03654961296545,1.1188411322607,1.0633888449191,-0.101266783044613,1.22390253352709,1.04862748682751,3.22591936867381,0.588480644768121,1.07411281591087,2.51321318214542,-0.064913299896189,1.15116492012808,2.58413922710306,-2.50688001945503,1.11991278087888,2.2904151784496,1.08448553896484,1.00371844374456,1.06025291603568,2.38693809759025,1.07072254176518,1.10380580392927,3.25578394304659,1.10754789965224,1.04276268569625,-0.367182597341222,0.647084113982344,-0.408781493490196,-2.42866852439206,1.07643797040943,2.01367326443256,1.14669537021667,2.76839648856017,1.0656307008485,-0.080554658893992,2.09689895124067,1.08121562959493,1.08175560150584,1.7318015334655,2.95847098250224,1.41366603201617,3.68227551730746,1.0157515112613,-1.19728556336729,1.05278778608384,1.81334300294493,2.82055164464831,1.11731856512963
"Market Research Insight",10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925,10.1925
"Mason-Dixon Polling & Strategy",4.65679859694612,4.60807409512585,4.69358242251116,4.64887723704016,4.61128968478934,4.78938911686882,4.83602896567214,4.93878983596243,4.6221317571523,4.77286760765367,4.70486893480502,4.91748919419555,4.84253962088941,5.07430372807036,4.80860377766289,4.91000183703652,6.79426800537302,3.28200337924494,4.81433642891548,4.715248840375,4.75098047369226,4.95577147427521,2.46816833976893,3.62821032462742,5.90057205271735,5.05086615784688,4.94023349502702,4.77799064949941,4.78243081971497,4.5522571487505,4.7450412995267,4.55781821503353,4.68380457727597,5.11715116942244,4.69149023121223,4.71251141223212,4.81498185721234,4.74796526345693,4.77999749263353,4.67524253697675,6.74270165892455,4.79667168413597,4.78480683399244,5.00734960227059,4.74680282225026,4.7607490349173,4.65803227463324,5.04301523981222,4.8596567400596,4.97439800641124
"University of New Orleans",-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625,-1.4625
"Cherry Communications",-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565,-0.565
"Data Orbital",1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923,1.45076923076923
"Marketing Resource Group (MRG)",6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38,6.38
"Mitchell Research & Communications",4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905,4.32761904761905
"Christopher Newport University",2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857,2.00142857142857
"YouGov",-2.04403296189072,2.69967194910909,3.32114295589933,2.79092255669856,2.77951865048244,0.884034517286225,2.6362013460828,2.66912485528714,3.20020431770553,2.09910730686722,2.74451922680589,2.7685774837676,2.82481408220401,2.80720851077325,2.85947788667907,2.67757172266594,2.72445238393863,2.71130685041625,2.77414630990839,2.66007190276169,3.14026788164122,4.83483743591463,2.75361912443326,2.79367116009343,2.76459843368262,2.75882967343852,2.69473341316799,2.86355888988197,2.05588431801206,2.67206651635819,2.80245226291861,2.73302062408319,4.00275636978429,2.80610028379982,4.98956273092016,2.61991355565987,2.74077884059659,3.96626692288184,2.64276386943785,2.76527237216382,2.81787022505445,2.62974991743786,2.06974311448127,0.568210721563168,2.72555802435439,2.73436367346307,2.78017970866578,2.69365794367648,4.47095786328395,2.78364935920566
"Google Surveys",-6.10854647877794,6.74231704597563,1.00028364815501,0.757907991217057,0.536246272722122,2.40610623358042,1.27008123278147,1.54257657877463,-4.01308003482427,-2.40355250358654,-0.431232077363125,9.00424308306283,1.20559388600277,1.40855201643557,1.31241985935757,1.67825308756825,5.60819673812378,0.525570638987358,2.20714105093438,1.34380410305197,1.2144504954613,1.64038845398099,1.85987585252521,0.964618273672328,1.49187159653312,2.87408244541522,1.86178363994228,1.6544919802506,2.26701241610006,0.362467560761149,1.41782717552375,0.334874644375919,1.44903593922813,2.54099450309829,1.34123368597445,0.838322644783054,2.21707439926835,1.27685257736645,0.671757608841729,1.2707082413484,2.42648290208508,0.732648762982225,1.48136381253678,1.36838705052155,2.58333187465379,1.70397307175477,1.41518596971245,1.38619102139888,1.732360874869,2.36658544222323
