"","V1"
"Quinnipiac University",5.5
"Rasmussen Reports/Pulse Opinion Research",-4.13
"American Research Group",4.9
"Big Data Poll",-3.05
"Lucid",1.68
"CVOTER",0.216666666666667
"Ipsos",2.639375
"Morning Consult",1.90875
"SurveyMonkey",2.45538461538462
"Centre College",3.85
"IBD/TIPP",-0.256666666666667
"Public Policy Polling",3.9
"USC Dornsife/Los Angeles Times",2.769
"CNN/Opinion Research Corp.",2.845
"GfK Group",7.845
"Google Surveys",-0.376
"Gravis Marketing",-0.241666666666667
"Suffolk University",4.0675
"GQR Research (GQRR)",4.095
"NBC News/The Wall Street Journal",2.8
"Pew Research Center",4.4
"ABC News/The Washington Post",0.671666666666667
"Fox News/Beacon Research/Shaw & Co. Research",1.055
"Saint Leo University",9
"YouGov",3.91115384615385
"RAND (American Life Panel)",7
"CBS News/The New York Times",1.0575
"Marist College",-0.2575
"Angus Reid Global",2.725
"RKM Research and Communications Inc.",-0.605
"Monmouth University",3.9
"Selzer & Co.",-1.405
"Insights West",1.9
"Public Religion Research Institute",-0.86
"Harris Insights & Analytics",-0.633333333333333
"McLaughlin & Associates",-7.86
"Gallup",1.14
"SSRS",6.54
"J.L. Partners",7.55
"RMG Research",2.88333333333333
"Brandwatch Qriously",6.55
"GBAO",8.74
"Global Strategy Group/GBAO (Navigator Research)",5.24
"Léger",3.88333333333333
"Research Co.",3.55
"Siena College/The New York Times Upshot",4.55
"Change Research",4.88333333333333
"Echelon Insights",1.49
"Redfield & Wilton Strategies",6.55
"SurveyUSA",4.55
"Cometrends",7.55
"Data for Progress",5.645
"Rethink Priorities",3.79
"Spry Strategies",-4.24
"Hofstra University",6.44
"Global Marketing Research Services",9.55
"Swayable",1.6
"The Winston Group",0.74
"Tufts University",2.55
"Emerson College",-0.25
"AtlasIntel",0.25
"Long Island University",6.55
"Opinium",7.24
"AYTM",4.55
"John Zogby Strategies/EMI Research Solutions",0.34
"Lake Research Partners",-1.45
