"","POLLSTER","START","END","SAMPLE","POPULATION","DEMPCT","REPPCT","OTHERPCT","ELAPSED","RECWGT","BIAS","WEIGHT","SAMPWEIGHT","POPWEIGHT","TOTWGT","DEMOCRATIC","REPUBLICAN"
"1","AtlasIntel","11/5/22",2022-11-07,1013,"a",44.1,47.6,NA,1,93.61,0.25,1,1.73016787606217,1,161.96101487818,44.0375,47.6625
"2","AtlasIntel","11/5/22",2022-11-07,863,"lv",46.6,49.7,NA,1,93.61,0.25,1,1.69010367277086,2,316.42120961616,46.5375,49.7625
"3","Trafalgar Group","11/4/22",2022-11-06,1099,"lv",42.7,48.4,NA,2,87.628321,-2.20909966960854,1,1.75053898860091,2,306.793584832271,43.2522749174021,47.8477250825979
"4","Data for Progress","11/3/22",2022-11-06,1130,"lv",48,52,NA,2,87.628321,5.645,2,1.7574932279266,2,616.024722928312,46.58875,53.41125
"5","YouGov","11/3/22",2022-11-06,1071,"lv",48,49,NA,2,87.628321,3.91115384615385,2,1.74408701761194,2,611.325668124926,47.0222115384615,49.9777884615385
"6","YouGov","11/3/22",2022-11-06,1315,"rv",47,46,NA,2,87.628321,3.91115384615385,2,1.79539798615297,1.67,525.474554918241,46.0222115384615,46.9777884615385
"7","Morning Consult","11/4/22",2022-11-05,2005,"rv",48,43,NA,3,82.0288712881,1.90875,2,1.90084983493517,1.67,520.788051935996,47.5228125,43.4771875
"8","NBC News/The Wall Street Journal","11/3/22",2022-11-05,1000,"rv",47,47,NA,3,82.0288712881,2.8,2,1.72693881974553,1.67,473.140532838881,46.3,47.7
"9","NBC News/The Wall Street Journal","11/3/22",2022-11-05,786,"lv",48,47,NA,3,82.0288712881,2.8,2,1.6667391981073,2,546.8829406095,47.3,47.7
"10","Big Village/Opinion Research Corporation","11/2/22",2022-11-04,1009,"a",39.9,37.9,NA,4,76.7872264127904,0,1,1.7291787550884,1,132.77884057516,39.9,37.9
"11","Big Village/Opinion Research Corporation","11/2/22",2022-11-04,702,"lv",50,46.2,NA,4,76.7872264127904,0,1,1.63848335100645,2,251.62918409464,50,46.2
"12","Rasmussen Reports/Pulse Opinion Research","10/30/22",2022-11-03,2500,"lv",43,48,NA,5,71.8805226450131,-4.13,2,1.95601150271407,2,562.39651645898,44.0325,46.9675
"13","ABC News/The Washington Post","10/30/22",2022-11-02,881,"rv",48,49,NA,6,67.2873572479968,0.671666666666667,2,1.69526440648404,1.67,380.993338241343,47.8320833333333,49.1679166666667
"14","ABC News/The Washington Post","10/30/22",2022-11-02,688,"lv",48,50,NA,6,67.2873572479968,0.671666666666667,2,1.63344720948334,2,439.641383720995,47.8320833333333,50.1679166666667
"15","Big Village/Opinion Research Corporation","10/31/22",2022-11-02,702,"lv",51.5,44.9,NA,6,67.2873572479968,0,1,1.63848335100645,2,220.498429168132,51.5,44.9
"16","Big Village/Opinion Research Corporation","10/31/22",2022-11-02,1006,"a",43.1,36.8,NA,6,67.2873572479968,0,1,1.72843433766492,1,116.301778758164,43.1,36.8
"17","Ipsos","10/31/22",2022-11-01,453,"lv",48,46,NA,7,62.9876951198498,2.639375,2,1.52897303137076,2,385.225948585816,47.34015625,46.65984375
"18","Ipsos","10/31/22",2022-11-01,801,"rv",43,40,NA,7,62.9876951198498,2.639375,2,1.67146523676709,1.67,351.64102074129,42.34015625,40.65984375
