States,PVI
AL,-30.56910706
AK,-16.37937305
AZ,-4.822164772
AR,-32.24515316
CA,26.85941833
CO,7.266524553
CT,14.55078979
FL,-6.445696206
GA,-5.391775073
HI,27.89369257
ID,-37.15316131
IL,13.79020179
IN,-21.45237057
IA,-12.72981017
KS,-21.17222946
KY,-31.82501439
LA,-23.17492971
MD,28.27661211
MO,-20.77055591
NV,-1.279860358
NH,1.354948993
NY,19.71109095
NC,-5.95127298
ND,-39.93086375
OH,-12.05566142
OK,-39.22545908
OKS,-39.22545908
OR,11.40338599
PA,-3.226519708
SC,-16.65079511
SD,-32.3294181
UT,-26.28653197
VT,30.75493001
WA,15.31719064
WI,-3.620304051
