POLLSTER,STATE,START,END,SAMPLE,POPULATION,DEM1,DEM1PCT,REP1,REP1PCT,OTHER1,OTHER1PCT,DEM2,DEM2PCT,DEM3,DEM3PCT,REP2,REP2PCT,REP3,REP3PCT
Trafalgar Group,AZ,11/5/22,11/7/22,1094,lv,Mark Kelly,46.7,Blake Masters,48.2,,,,,,,,,,
Targoz Market Research,AZ,11/2/22,11/6/22,560,lv,Mark Kelly,50,Blake Masters,47,,,,,,,,,,
Targoz Market Research,PA,11/2/22,11/6/22,904,rv,John Fetterman,47,Mehmet Oz,41,,,,,,,,,,
Targoz Market Research,PA,11/2/22,11/6/22,631,lv,John Fetterman,46,Mehmet Oz,51,,,,,,,,,,
Targoz Market Research,OH,11/2/22,11/6/22,814,rv,Tim Ryan,43,J.D. Vance,44,,,,,,,,,,
Targoz Market Research,OH,11/2/22,11/6/22,505,lv,Tim Ryan,45,J.D. Vance,52,,,,,,,,,,
Targoz Market Research,GA,11/2/22,11/6/22,579,lv,Raphael Warnock,47,Herschel Junior Walker,49,,,,,,,,,,
Targoz Market Research,GA,11/2/22,11/6/22,810,rv,Raphael Warnock,46,Herschel Junior Walker,41,,,,,,,,,,
Targoz Market Research,AZ,11/2/22,11/6/22,809,rv,Mark Kelly,46,Blake Masters,43,,,,,,,,,,
co/efficient,CO,11/3/22,11/7/22,856,lv,Michael Bennet,51,Joe O'Dea,43,,,,,,,,,,
Data for Progress,GA,11/2/22,11/6/22,1474,lv,Raphael Warnock,48,Herschel Junior Walker,49,,,,,,,,,,
Data for Progress,AZ,11/2/22,11/6/22,1359,lv,Mark Kelly,49,Blake Masters,50,,,,,,,,,,
Patriot Polling,PA,11/2/22,11/5/22,846,rv,John Fetterman,46.1,Mehmet Oz,49.4,,,,,,,,,,
Data for Progress,CO,11/2/22,11/5/22,1983,lv,Michael Bennet,51,Joe O'Dea,44,,,,,,,,,,
Data for Progress,OH,11/2/22,11/5/22,1413,lv,Tim Ryan,45,J.D. Vance,55,,,,,,,,,,
Data for Progress,FL,11/2/22,11/6/22,1436,lv,Val Demings,43,Marco Rubio,55,,,,,,,,,,
Data for Progress,NV,11/2/22,11/6/22,1100,lv,Catherine Cortez Masto,47,Adam Paul Laxalt,49,,,,,,,,,,
