,DEMVOTE,REPVOTE,MARGIN,NATIONAL,PARTLEAN
Alabama,"849,624","1,441,170",-0.2582,0.0454,-0.3036
Alaska,"153,778","189,951",-0.1052,0.0454,-0.1506
Arizona,"1,672,143","1,661,686",0.0031,0.0454,-0.0422
Arkansas,"423,932","760,647",-0.2842,0.0454,-0.3296
California,"11,110,250","6,006,429",0.2982,0.0454,0.2528
Colorado,"1,804,352","1,364,607",0.1388,0.0454,0.0934
Connecticut,"1,080,831","714,717",0.2039,0.0454,0.1585
Delaware,"296,268","200,603",0.1925,0.0454,0.1472
Florida,"5,297,045","5,668,731",-0.0339,0.0454,-0.0793
Georgia,"2,473,633","2,461,854",0.0024,0.0454,-0.0430
Hawaii,"366,130","196,864",0.3007,0.0454,0.2553
Idaho,"287,021","554,119",-0.3175,0.0454,-0.3629
Illinois,"3,471,915","2,446,891",0.1732,0.0454,0.1278
Indiana,"1,242,416","1,729,519",-0.1639,0.0454,-0.2093
Iowa,"759,061","897,672",-0.0837,0.0454,-0.1290
Kansas,"570,323","771,406",-0.1499,0.0454,-0.1952
Kentucky,"772,474","1,326,646",-0.2640,0.0454,-0.3094
Louisiana,"856,034","1,255,776",-0.1893,0.0454,-0.2346
Maine,"435,072","360,737",0.0934,0.0454,0.0480
Maryland,"1,985,023","976,414",0.3406,0.0454,0.2952
Massachusetts,"2,382,202","1,167,202",0.3423,0.0454,0.2970
Michigan,"2,804,040","2,649,852",0.0283,0.0454,-0.0171
Minnesota,"1,717,077","1,484,065",0.0728,0.0454,0.0274
Mississippi,"539,398","756,764",-0.1677,0.0454,-0.2131
Missouri,"1,253,014","1,718,736",-0.1567,0.0454,-0.2021
Montana,"244,786","343,602",-0.1679,0.0454,-0.2133
Nebraska,"374,583","556,846",-0.1957,0.0454,-0.2410
Nevada,"703,486","669,890",0.0245,0.0454,-0.0209
New Hampshire,"424,937","365,660",0.0750,0.0454,0.0296
New Jersey,"2,608,335","1,883,274",0.1614,0.0454,0.1161
New Mexico,"501,614","401,894",0.1104,0.0454,0.0650
New York,"5,230,985","3,244,798",0.2343,0.0454,0.1890
North Carolina,"2,684,292","2,758,775",-0.0137,0.0454,-0.0590
North Dakota,"114,902","235,595",-0.3443,0.0454,-0.3897
Ohio,"2,679,165","3,154,834",-0.0815,0.0454,-0.1269
Oklahoma,"503,890","1,020,280",-0.3388,0.0454,-0.3842
Oregon,"1,340,383","958,448",0.1661,0.0454,0.1208
Pennsylvania,"3,458,229","3,377,674",0.0118,0.0454,-0.0336
Rhode Island,"307,486","199,922",0.2120,0.0454,0.1666
South Carolina,"1,091,541","1,385,103",-0.1185,0.0454,-0.1639
South Dakota,"150,471","261,043",-0.2687,0.0454,-0.3141
Tennessee,"1,143,711","1,852,475",-0.2366,0.0454,-0.2819
Texas,"5,259,126","5,890,347",-0.0566,0.0454,-0.1020
Utah,"560,282","865,140",-0.2139,0.0454,-0.2592
Vermont,"242,820","112,704",0.3660,0.0454,0.3206
Virginia,"2,413,568","1,962,430",0.1031,0.0454,0.0577
Washington,"2,369,612","1,584,651",0.1985,0.0454,0.1532
West Virginia,"235,984","545,382",-0.3960,0.0454,-0.4413
Wisconsin,"1,630,866","1,610,184",0.0064,0.0454,-0.0390
Wyoming,"73,491","193,559",-0.4496,0.0454,-0.4950
