"","Weight"
"Lucid",1.33
"Suffolk University",1.33
"Emerson College",1.33
"Market Research Insight",1.67
"Mason-Dixon Polling & Strategy",1
"University of New Orleans",1
"Cherry Communications",1
"Data Orbital",2
"Marketing Resource Group (MRG)",2
"Mitchell Research & Communications",1.33
"Christopher Newport University",1.33
"YouGov",1.33
"Google Surveys",1
"McLaughlin & Associates",1
"Public Policy Polling",1.67
"WPA Intelligence (WPAi)",1
"Abt Associates",1.67
"Public Policy Institute of California",1
"The Tyson Group",2
"SoonerPoll.com",2
"Remington Research Group",1
"Opinion Savvy/InsiderAdvantage",1.67
"Southern Media & Opinion Research",2
"Landmark Communications",1.67
"Clout Research/Wenzel Strategies",1
"Braun Research",1.33
"Elway Research",2
"Rasmussen Reports/Pulse Opinion Research",1
"University of Colorado",2
"Hendrix College",1.33
"Monmouth University",1.33
"Siena College/The New York Times Upshot",1.33
"Marist College",1
"Bendixen & Amandi International",1.33
"University of Arkansas",1
"Florida Atlantic University",2
"SurveyUSA",1
"Gravis Marketing",1.33
"Quinnipiac University",1.67
"Muhlenberg College",2
"Selzer & Co.",2
"University of North Florida",2
"Saguaro Strategies",2
"University of New Hampshire",1.33
"EPIC-MRA",1.67
"North Star Opinion Research/Ayres, McHenry & Associates",1
"Saint Leo University",1
"Craciun Research Group",1
"Zia Poll",2
"Dan Jones & Associates",1
"Elon University",2
"RRH Elections",2
"Nielson Brothers Polling",1
"Maine People's Resource Center",1
"St. Cloud State University",1.67
"Trafalgar Group",1.67
"Greenberg Quinlan Rosner/American Viewpoint",1
"Dixie Strategies",1
"Praecones Analytica",2
"DHM Research",1.33
"Cygnal",1.67
"Loras College",1
"Roanoke College",1
"Winthrop University",1
"SurveyMonkey",1
"BK Strategies",1.67
"Western Kentucky University",1
"Franklin & Marshall College",1.33
"TargetSmart/William & Mary",1.67
"Western New England University",1
"Hampton University",1
"Marquette University Law School",1.67
"ABC News/The Washington Post",1.33
"DFM Research",1.33
"CNN/Opinion Research Corp.",1
"JMC Analytics",1
"Ciruli Associates",1.33
"Strategic National",2
"Stockton University",2
"MassINC Polling Group",1.67
"University of Massachusetts Lowell",1.67
"Starboard Communications",2
"American Research Group",1
"Columbus Dispatch",1
"Susquehanna Polling & Research Inc.",1.67
"Public Opinion Strategies",2
"Y2 Analytics",1
"Fort Hays State University",1
"Clarity Campaign Labs",2
"Magellan Strategies",1
"RABA Research",1.67
"Research & Polling Inc.",2
"Keating Research",1.67
"Harper Polling",2
"Siena College",1.33
"20/20 Insight",2
"Insights West",1.67
"IMGE Insights",2
"The Polling Company Inc.",2
"Optimus",1
"Change Research",1
"Fox News/Beacon Research/Shaw & Co. Research",1.33
"Sky Research",1
"Strategy Research",1.67
"The Polling Company Inc./National Research Inc.",1
"OnMessage Inc.",2
"St. Pete Polls",2
"American Viewpoint",1
"Ipsos",1.33
"Rutgers University",1
"Strategic Research Associates",1
"Fabrizio, Lee & Associates",1
"SSRS",1.33
"Mason Strategies",1
"Michigan State University",2
"ALG Research",1
"SEA Polling & Strategic Design",1
"GBAO",1
"Tarrance Group",2
"Alaska Survey Research",1.67
"1892 Polling",1
"University of California, Berkeley",1
"Pacific Market Research",1.33
"Fleming & Associates",2
"University of Texas at Tyler",1
"OH Predictive Insights",1
"Target Insyght",1
"Baldwin Wallace University",1
"GQR Research (GQRR)",1
"Research America Inc.",1
"Glengariff Group",1.67
"East Tennessee State University",2
"University of Georgia School of Public and International Affairs",1.67
"Harris Insights & Analytics",1.33
"HighGround Inc.",2
"Probolsky Research",1
"MWR Strategies",2
"Vox Populi Polling",1.33
"Keating Research/OnSight Public Affairs/Melanson",2
"Carroll Strategies",2
"Targoz Market Research",1
"Sacred Heart University",1
"Hoffman Research Group",1
"Slingshot Strategies",1
"Research Co.",1
"Victory Research",1
"JMC Analytics/Bold Blue Campaigns",1
"We Ask America",1
"Data for Progress",2
"Spry Strategies",1
"Hickman Analytics",1
"Edgewater Research/My People Vote",2
"Moore Information",2
"Civiqs",1.33
"Garin-Hart-Yang Research Group",2
"FM3 Research",1
"RBI Strategies & Research",2
"National Research Inc.",2
"brilliant corners Research & Strategies",1
"Beacon Research",1
"RMG Research",1.67
"Jorge Benítez",1
"Morning Consult",1.67
"East Carolina University",2
"Latino Decisions",1
"Strategies 360",2
"Meredith College",1.33
"Virginia Commonwealth University",2
"University of Wyoming",2
"Citizen Data",2
"co/efficient",2
"Ragnar Research Partners",1
"University of Nevada, Las Vegas Lee Business School",1.33
"Triton Polling & Research",2
"Univision/Latino Decisions/North Star Opinion Research",2
"Bluegrass Community and Technical College",2
"Gonzales Research & Marketing Strategies Inc.",1
"Montana State University Billings",2
"Patinkin Research Strategies",2
"Colby College",1
"The Justice Collaborative Institute",2
"Swayable",1.33
"Kiaer Research",2
"Saint Anselm College",1.67
"Auburn University at Montgomery",2
"Meeting Street Insights",2
"VCreek/AMG",1
"Redfield & Wilton Strategies",1.67
"Wick",1.67
"Cardinal Point Analytics (CardinalGPS)",2
"USC Schwarzenegger Institute",1
"AtlasIntel",2
"El Nuevo Día/The Research Office",1
"David Binder Research",1
"AYTM",2
"Frederick Polls",2
"Reconnect Research/Probolsky Research",2
"Mellman Group",2
"Open Model Project",2
